FunctionNo,BestFit,MeanFit,STDFit,MedianFit,WorstFit,BestCV,MeanCV,SR_percent,vio_Bar,MeanTime_sec,TotalTime_sec
1,0,1.5654944664111e-29,1.60088916793067e-29,1.17959357233829e-29,5.75498682262016e-29,0,0,100,0,1.94524,48.631
2,0,1.96894751562507e-29,1.36639150568304e-29,2.07569025686279e-29,4.71960688451758e-29,0,0,100,0,2.05436,51.359
3,173.739479028482,332.372298504085,177.418677025401,279.164385234323,1081.45938931807,0,0,100,0,2.17748,54.437
4,13.5727871481246,16.1522369056855,2.52016686050631,15.9192437924615,25.8688057371411,0,0,100,0,1.9992,49.98
5,0,4.2085729293541e-30,8.20218230920289e-30,0,2.17429787001541e-29,0,0,100,0,2.49552,62.388
6,0,0.15999507822281,0.553757889464911,0,1.99994051805095,0,0.134631837866788,92,1.68289797333486,1.97536,49.384
7,-2460.82184038157,-1110.18938836183,643.857104521971,-1051.47300201682,287.374615860338,0,0,100,0,2.13112,53.278
8,-0.000283980917122229,-0.000283980917122033,2.24985722784754e-16,-0.000283980917122229,-0.000283980917121784,0,0,100,0,2.02564,50.641
9,-0.00266550748894989,-0.00266550748894989,0,-0.00266550748894989,-0.00266550748894989,0,0,100,0,2.17204,54.301
10,-0.000102841696769218,-0.000102841696766989,1.52829501849829e-15,-0.000102841696766554,-0.000102841696765665,0,0,100,0,2.1154,52.885
11,-15.4220988432679,-4.09871988040292,4.28717729985658,-1.57629702393621,-0.511367716531608,0,8.55637878773184e-11,100,0,2.45136,61.284
12,3.98252523644191,9.54346216847731,1.15852852750968,9.77516713181981,9.77517744721731,0,0,100,0,2.3374,58.435
13,0,8.87310746192594e-28,9.55057014427913e-28,5.83757069863549e-28,2.33502827945419e-27,0,0,100,0,1.95524,48.881
14,1.40851812640543,1.42242568951052,0.0325233351401076,1.40851812640543,1.49544039581222,0,0,100,0,1.70824,42.706
15,5.49771643310396,5.49772026506656,1.5866059362586e-05,5.49771643310396,5.49779610234786,0,0,100,0,1.85024,46.256
16,14.1370277200349,21.5511863825068,3.86151878358492,18.8494167004195,31.4157873147787,0,0,100,0,1.6018,40.045
17,0.731304525957944,0.835015273668533,0.058615676698664,0.855974446679853,0.945779461928439,31,31,0,31,2.403,60.075
18,36.5202936793335,36.5203263367277,1.76457922974747e-05,36.5203229385823,36.5203782366886,0,0,100,0,2.66112,66.528
19,0,0,0,0,0,42749.8161397472,42749.8161397472,0,42749.8161397472,2.77744,69.436
20,0.946673363252696,1.36467711263254,0.208698661337571,1.35954762025951,1.70983210847543,0,0,100,0,2.725,68.125
21,9.77516641685189,23.8738914296909,8.08617304941524,28.3261154270424,28.3261531575319,0,0,100,0,2.58468,64.617
22,2.48287313904426e-26,5.83740020607235e-26,5.09909949172733e-26,3.91595976770434e-26,2.16409099597799e-25,0,0,100,0,2.61024,65.256
23,1.40851812813917,1.40851817836241,4.99518361556402e-08,1.40851816789938,1.4085183595164,0,0,100,0,2.76908,69.227
24,5.49771643310396,5.49771643310396,0,5.49771643310396,5.49771643310396,0,0,100,0,2.23248,55.812
25,12.56623139324,22.4936702642064,4.52814345185575,25.1326020075991,31.4157873147787,0,0,100,0,2.01108,50.277
26,0.660240782532677,0.834555699048349,0.0568344806652794,0.828059673319409,0.956422670273569,31,31,0,31,2.83932,70.983
27,36.5203721478144,36.5204443250091,5.40993378646702e-05,36.5204374824976,36.5205815813297,0,0,100,0,3.1524,78.81
28,-7.87299119939918,-5.33184647715293,2.76344929052968,-6.41141386117072,3.71801449070096e-06,42749.8161397472,42766.2319982992,0,42766.2319982992,3.30336,82.584
