73103	35462800000	64414.1	27533300000	65270.5	30262800000	48745.5	18386600000	77336.4	29039200000	52992.6	19570600000	57267.6	17506400000	66119.2	24972000000	43129.4	12186700000	58981.7	23299000000	69983.8	28070600000	55098.5	25992500000	70490.2	34864300000	74129.8	32377400000	49958.7	25190900000	56317.5	21596500000	57547.2	23140900000	58432.1	22071100000	56762.5	18773900000	69429.8	29913300000	59013.8	25887200000	61227.8	23428900000	60077.2	24601800000	68808	33690600000	61213.9	29636700000
52855.6	20452400000	48271	18189100000	58635.5	22948100000	49002.2	16619200000	51884.8	14903100000	47558.5	14349700000	35777.1	9901010000	48653	17178300000	43129.4	12186700000	44560.5	12515400000	41960	12237700000	41057.5	10093900000	46789.3	16387600000	50201.9	15685800000	48022.5	15781800000	53837.5	17211600000	40337	11203400000	44000.8	10100300000	52888.8	18143500000	54006.8	17069400000	51741.2	19372000000	54477.8	12689100000	39490.8	13574200000	48964.5	18211100000	45467.8	14450300000
54710.4	14770500000	45329	14470200000	36124.7	9504680000	44447.2	15191100000	51884.8	14903100000	39887	11374700000	36419.8	7778270000	48653	17178300000	42890.8	11657200000	44560.5	12515400000	41960	12237700000	41057.5	10093900000	46789.3	16387600000	48222.8	15090400000	43822	11760900000	49664.2	8550730000	40337	11203400000	44000.8	10100300000	50265.2	15802100000	38837.1	9204950000	33503	7667360000	54477.8	12689100000	42286.4	13418800000	41853	12494300000	45156.5	13792000000
39056.8	9164560000	40752	8719800000	36124.7	9504680000	31246.2	7964270000	49498.4	11359900000	36492.2	8141570000	36419.8	7778270000	49982.7	15335200000	42890.8	11657200000	44560.5	12515400000	34504	9064950000	41057.5	10093900000	33227	7475220000	36914.5	10927900000	43555.2	10253300000	49664.2	8550730000	40337	11203400000	44000.8	10100300000	37581.2	10934200000	40037.2	7989420000	33503	7667360000	42795.2	11621000000	41734.6	11811500000	42979.8	9932760000	34408.8	8525460000
39056.8	9164560000	40752	8719800000	38594.5	8238400000	25808.2	4941850000	43397.5	9625000000	36492.2	8141570000	36419.8	7778270000	39782.1	12528200000	36978.2	8898570000	36811.5	10873800000	34504	9064950000	41057.5	10093900000	33227	7475220000	33140.9	8787750000	41048.2	5928240000	49664.2	8550730000	31320.4	6981610000	24545.8	5946950000	32809.1	7630590000	40037.2	7989420000	33759.8	7457370000	32152	8418740000	37102.3	8823030000	42979.8	9932760000	32129.5	4415860000
32551.8	5460690000	24669.5	7382850000	33444.5	6375240000	25808.2	4941850000	28801.3	7160310000	36492.2	8141570000	36419.8	7778270000	32482.9	7886230000	25945	4223890000	20468.2	4481310000	27197.5	6411060000	32685.2	6633180000	24729.1	5499420000	33212.2	7619520000	25671.4	3993060000	38219.8	8070730000	31320.4	6981610000	26686.8	5156480000	24283.1	7185590000	40037.2	7989420000	28751.2	7444690000	30506.2	5401070000	33739.1	6731990000	30853	7931450000	32129.5	4415860000
32551.8	5460690000	29300	5297420000	33444.5	6375240000	25808.2	4941850000	31232.8	4705560000	32536.8	5028530000	25576	5171060000	31812.5	5669510000	25945	4223890000	20468.2	4481310000	27197.5	6411060000	26111.5	4681560000	24729.1	5499420000	33212.2	7619520000	23773.4	2981620000	30072.2	7130250000	25649.8	5499370000	26686.8	5156480000	24283.1	7185590000	44198.2	6498970000	28751.2	7444690000	22798.2	3509730000	33739.1	6731990000	30853	7931450000	32129.5	4415860000
23701.5	3761380000	25632.5	5281120000	33444.5	6375240000	25808.2	4941850000	21328.8	3442290000	32536.8	5028530000	27472.9	4552260000	31812.5	5669510000	25945	4223890000	20468.2	4481310000	29981.8	5731840000	23594.8	4533730000	24729.1	5499420000	30267	6581040000	23773.4	2981620000	27820	5293790000	27343	4680830000	14463.2	1158290000	28544	4737910000	26273.8	2851800000	22465.8	4726570000	22798.2	3509730000	33739.1	6731990000	29568.1	4772900000	24385	3948170000
23701.5	3761380000	25632.5	5281120000	27826.1	4940320000	25808.2	4941850000	21328.8	3442290000	32536.8	5028530000	27472.9	4552260000	31812.5	5669510000	25945	4223890000	20468.2	4481310000	29981.8	5731840000	21614.5	3515540000	22321.5	4211380000	10838.8	1262150000	23773.4	2981620000	24791	3960220000	27343	4680830000	14463.2	1158290000	22177.8	3113220000	26273.8	2851800000	21597.7	2817070000	19396.2	2642520000	30837	6148100000	29568.1	4772900000	24385	3948170000
23701.5	3761380000	24382.2	4109560000	21894.3	3627460000	19479.5	2864780000	21328.8	3442290000	32536.8	5028530000	26566.2	3845340000	31812.5	5669510000	19793.2	3373020000	23962.2	3583350000	25236.8	4655870000	20467	2971340000	22321.5	4211380000	10838.8	1262150000	23773.4	2981620000	24791	3960220000	26699.5	4107850000	14463.2	1158290000	22177.8	3113220000	26273.8	2851800000	19064.8	2361590000	14093.3	1623880000	25846.4	4912830000	16200.1	1807950000	24385	3948170000
16401.2	1945740000	24382.2	4109560000	21894.3	3627460000	19479.5	2864780000	17099.2	2238110000	22802.5	3199910000	19636.3	2463100000	23196.5	4067610000	20328.2	2379800000	16742.5	3016500000	20282.2	3748540000	20467	2971340000	22321.5	4211380000	10838.8	1262150000	19498.8	2786160000	20606	3675960000	21651.8	3834560000	14463.2	1158290000	15702.4	1637770000	17384.2	2565800000	19064.8	2361590000	14763.5	1503960000	26734.8	4407420000	16200.1	1807950000	20681	3355480000
18779.2	1680230000	21979.3	3741980000	19284.8	2831330000	19479.5	2864780000	17288.2	2122360000	21220.5	2853240000	19636.3	2463100000	24294.5	2888830000	20328.2	2379800000	16742.5	3016500000	17113	2947280000	19641.5	2259570000	23898.1	3723260000	10838.8	1262150000	13808.7	1432850000	27608.6	3334830000	21065.2	3096130000	14463.2	1158290000	15702.4	1637770000	17384.2	2565800000	19064.8	2361590000	14763.5	1503960000	20736.2	2774920000	16200.1	1807950000	20681	3355480000
18779.2	1680230000	17927.4	2556040000	18058.4	1951040000	17168.5	1901660000	17288.2	2122360000	21220.5	2853240000	9754.69	779639000	27002.5	2088730000	20328.2	2379800000	16971.8	2047140000	14329.7	1458270000	19641.5	2259570000	19307.2	3188510000	10838.8	1262150000	13808.7	1432850000	17589.2	2195740000	21623.4	2467520000	14463.2	1158290000	15702.4	1637770000	17384.2	2565800000	15840.4	1715860000	14763.5	1503960000	14996.9	1377290000	16200.1	1807950000	23761.8	2881790000
